feature,importance
price,1.08699
bid_ask_imbalance,0.9230706
volume_velocity_30s,0.82909447
serve_win_rate_home,0.7248799
score_diff_games,0.42659795
price_velocity_10s,0.4133302
price_velocity_30s,0.37436584
serve_win_rate_away,0.3732008
hmm_state,0.20027426
points_into_game,0.17078352
momentum_ema,0.16289072
break_rate_away,0.13383013
break_rate_home,0.059161432
momentum_raw,0.044535905
is_break_point,0.024474088
spread,0.017891647
is_server_home,0.0
score_diff_sets,0.0
trade_flow_imbalance,0.0
